2FGLJ0002.7+6220    6.7981201E-01   6.2339626E+01
2FGLJ0004.2+2208    1.0556870E+00   2.2136517E+01
2FGLJ0007.7+6825c   1.9250520E+00   6.8423218E+01
2FGLJ0014.3-0509    3.5811636E+00  -5.1529541E+00
2FGLJ0031.0+0724    7.7750001E+00   7.4140000E+00
2FGLJ0032.7-5521    8.1786814E+00  -5.5356300E+01
2FGLJ0038.8+6259    9.7204819E+00   6.2996712E+01
2FGLJ0039.1+4331    9.7803411E+00   4.3527130E+01
2FGLJ0048.8-6347    1.2218175E+01  -6.3795544E+01
2FGLJ0102.2+0943    1.5553009E+01   9.7258921E+00
2FGLJ0103.8+1324    1.5953339E+01   1.3400747E+01
2FGLJ0106.5+4854    1.6645967E+01   4.8912655E+01
2FGLJ0116.6-6153    1.9174721E+01  -6.1887119E+01
2FGLJ0124.6-2322    2.1154585E+01  -2.3368830E+01
2FGLJ0129.4+2618    2.2368999E+01   2.6309999E+01
2FGLJ0133.4-4408    2.3363850E+01  -4.4141895E+01
2FGLJ0143.6-5844    2.5917290E+01  -5.8744621E+01
2FGLJ0158.4+0107    2.9605778E+01   1.1251732E+00
2FGLJ0158.6+8558    2.9671074E+01   8.5967438E+01
2FGLJ0200.4-4105    3.0105145E+01  -4.1095951E+01
2FGLJ0212.1+5318    3.3039410E+01   5.3305283E+01
2FGLJ0221.2+2516    3.5320839E+01   2.5270857E+01
2FGLJ0221.3+6025c   3.5342495E+01   6.0430420E+01
2FGLJ0222.7+6820    3.5698845E+01   6.8344513E+01
2FGLJ0224.0+6204    3.6023258E+01   6.2076572E+01
2FGLJ0225.9+6154c   3.6494545E+01   6.1903519E+01
2FGLJ0226.1+0943    3.6541573E+01   9.7190180E+00
2FGLJ0227.2+6029c   3.6815426E+01   6.0486679E+01
2FGLJ0227.7+2249    3.6949673E+01   2.2824581E+01
2FGLJ0233.9+6238c   3.8475342E+01   6.2634945E+01
2FGLJ0237.9+5238    3.9496845E+01   5.2638145E+01
2FGLJ0239.5+1324    3.9886898E+01   1.3412796E+01
2FGLJ0248.5+5131    4.2130226E+01   5.1523197E+01
2FGLJ0251.0+2557    4.2761490E+01   2.5965929E+01
2FGLJ0253.9+5908    4.3475784E+01   5.9134678E+01
2FGLJ0305.0-1602    4.6258656E+01  -1.6035854E+01
2FGLJ0307.4+4915    4.6857822E+01   4.9253651E+01
2FGLJ0308.7+5954    4.7180000E+01   5.9916000E+01
2FGLJ0312.5-0914    4.8140606E+01  -9.2499228E+00
2FGLJ0312.8+2013    4.8203049E+01   2.0228241E+01
2FGLJ0316.1-6434    4.9031414E+01  -6.4568230E+01
2FGLJ0318.0+0255    4.9507973E+01   2.9268968E+00
2FGLJ0330.3+5816c   5.2583656E+01   5.8271042E+01
2FGLJ0332.1+6309    5.3031132E+01   6.3156235E+01
2FGLJ0336.0+7504    5.4002144E+01   7.5079338E+01
2FGLJ0338.2+1306    5.4569931E+01   1.3114547E+01
2FGLJ0340.5+5307    5.5149471E+01   5.3131371E+01
2FGLJ0340.7-2421    5.5186886E+01  -2.4353477E+01
2FGLJ0341.8+3148c   5.5465572E+01   3.1806311E+01
2FGLJ0345.2-2356    5.6316578E+01  -2.3944180E+01
2FGLJ0353.2+5653    5.8320583E+01   5.6889103E+01
2FGLJ0359.5+5410    5.9891209E+01   5.4180313E+01
2FGLJ0404.0+3843    6.1019299E+01   3.8723820E+01
2FGLJ0404.6+5822    6.1174469E+01   5.8366970E+01
2FGLJ0409.5+0509    6.2387817E+01   5.1568918E+00
2FGLJ0409.8-0357    6.2464348E+01  -3.9664199E+00
2FGLJ0414.9-0855    6.3731838E+01  -8.9207964E+00
2FGLJ0415.2+5518    6.3800423E+01   5.5301060E+01
2FGLJ0416.0-4355    6.4012428E+01  -4.3930706E+01
2FGLJ0418.9+6636    6.4747406E+01   6.6603439E+01
2FGLJ0420.9-3743    6.5230125E+01  -3.7720551E+01
2FGLJ0423.4+5612    6.5861526E+01   5.6205853E+01
2FGLJ0426.7+5434    6.6687561E+01   5.4581158E+01
2FGLJ0427.2-6705    6.6821312E+01  -6.7096527E+01
2FGLJ0428.0-3845    6.7013573E+01  -3.8761559E+01
2FGLJ0430.2+3508c   6.7563507E+01   3.5149338E+01
2FGLJ0431.5+3622    6.7889641E+01   3.6381367E+01
2FGLJ0438.0-7331    6.9515266E+01  -7.3527588E+01
2FGLJ0439.8-1858    6.9973633E+01  -1.8981697E+01
2FGLJ0440.5+2554c   7.0146370E+01   2.5902691E+01
